38   tensor(0.5531, grad_fn=<NllLossBackward>)
39   tensor(0.6550, grad_fn=<NllLossBackward>)
[8,    40] loss: 0.590
40   tensor(0.5788, grad_fn=<NllLossBackward>)
41   tensor(0.5674, grad_fn=<NllLossBackward>)
42   tensor(0.6118, grad_fn=<NllLossBackward>)
43   tensor(0.4805, grad_fn=<NllLossBackward>)
44   tensor(0.6617, grad_fn=<NllLossBackward>)
[8,    45] loss: 0.580
45   tensor(0.4933, grad_fn=<NllLossBackward>)
46   tensor(0.5410, grad_fn=<NllLossBackward>)
47   tensor(0.4753, grad_fn=<NllLossBackward>)
48   tensor(0.5478, grad_fn=<NllLossBackward>)
49   tensor(0.5809, grad_fn=<NllLossBackward>)
[8,    50] loss: 0.528
50   tensor(0.6204, grad_fn=<NllLossBackward>)
51   tensor(0.5858, grad_fn=<NllLossBackward>)
52   tensor(0.5066, grad_fn=<NllLossBackward>)
53   tensor(0.5815, grad_fn=<NllLossBackward>)
54   tensor(0.6270, grad_fn=<NllLossBackward>)
[8,    55] loss: 0.584
55   tensor(0.5789, grad_fn=<NllLossBackward>)
